IDRSSD	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	field48
19356	9121000	0	5418000	16845000	0	34557000	0	0	13144000	0	45725000	0	1777000		8806000	3754000	1472000	29119000	30083000	20000	13865000	0	0	0	2225000	6873000	2998000	936000	9076000	1000000	8347000	8424000	2047000	4226000	19818000	0	4097000	8847000	0	FALSE							
19936	16227000	0	36181000	60421000	0	143705000	0	0	0	0	143079000	0	11825000		19397000	79555000	8938000	107524000	131254000	0	0	3930000	0	0	6354000	19375000	8747000	4234000	25729000	766000	3153000	3282000	1385000	19314000	8586000	0	0	3919000	0	TRUE							
19972	75870000	0	0	0	0	0	0	0	0	0	75870000	0	0		0	0	0	0	75870000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	FALSE							
20053	12253000	0	1497000	22800000	0	29919000	0	0	14892000	0	61616000	0	3713000		29635000	5104000	7408000	28422000	57903000	0	0	1007000	11130000	2220000	3523000	9989000	17059000	7150000	13512000	2321000	2203000	2015000	0	8086000	6539000	3762000	0	4524000	1247000	TRUE							
20633	52925000	0	11313000	26822000	0	118860000	0	0	0	0	133176000	0	815000		26561000	24983000	10889000	107542000	132361000	5000	0	3459000	0	0	4994000	16108000	23753000	4437000	20820000	250000	3786000	1675000	265000	22731000	5976000	17949000	0	4036000	2671000	TRUE							
20857	8498000	0	8472000	12498000	0	42099000	0	0	0	0	57006000	0	7781000		4415000	35365000	2370000	33627000	49225000	0	0	0	0	0	2078000	4323000	1769000	370000	6401000	262000	1341000	3000000	0	4125000	4603000	0	0	1603000	0	TRUE							
21256	992000	0	3313000	2543000	0	6284000	0	0	0	0	3227000	0	314000		621000	542000	1371000	2971000	2913000	0	0	842000	0	0	84000	522000	204000	41000	606000	0	0	842000	0	230000	842000	0	0	0	0	TRUE							
21359	12860000	0	2300000	10634000	0	18150000	0	0	0	0	27146000	0	1920000		3984000	8460000	3798000	15850000	25226000	0	0	0	0	0	681000	4082000	687000	376000	4763000	0	0	0	0	1842000	0	0	0	0	0	TRUE							
21658	21865000	1000	5503000	23796000	0	67775000	0	0	3000	0	83545000	0	1468000		32681000	9093000	15361000	62271000	82077000	0	0	5532000	3000	3000	8405000	18762000	15117000	3475000	27167000	955000	2226000	3341000	306000	13078000	6828000	0	0	3181000	0	TRUE							
22048	23080000	0	11083000	82577000	0	82577000	0	0	8206000	0	96032000	0	9249000		22526000	0	6711000	71494000	86783000	0	0	2934000	8206000	2005000	14734000	18902000	18502000	3087000	33636000	9426000	5316000	2984000	0	32699000	17726000	807000	0	14742000	0	TRUE							
22543	51584000	19000	10941000	55524000	0	94882000	0	0	0	0	89379000	0	6665000		12990000	13713000	4396000	83922000	82714000	0	0	1438000	0	0	3843000	6637000	8203000	1258000	10478000	255000	1595000	2291000	0	6951000	4141000	0	0	1850000	0	TRUE							
22552	14046000	0	2408000	15687000	0	29166000	0	0	5510000	0	47144000	0	2792000		13449000	3771000	3389000	26758000	44352000	0	0	546000	5510000	859000	3988000	10202000	13053000	18000	14190000	0	1066000	1000000	0	13812000	2066000	0	0	1066000	249000	FALSE							
22730	140000	0	15314000	65651000	0	94234000	0	0	0	0	71406000	0	8454000		9900000	56350000	3032000	78920000	62952000	0	0	543000	0	0	3370000	4300000	3871000	1667000	7102000	0	1708000	0	0	3308000	1708000	0	0	1708000	0	TRUE							
23456	19680000	0	9859000	21902000	0	84814000	0	0	0	0	96677000	0	10992000		35593000	12620000	13324000	74955000	85685000	0	0	4797000	0	0	7294000	18549000	20706000	6671000	25843000	1374000	6897000	1974000	912000	17627000	11157000	0	0	8271000	0	TRUE							
23504	1589495000	0	64655000	526567000	0	585801000	0	0	122710000	0	3254567000	0	489923000		60998000	1388151000	15363000	521146000	2764644000	0	0	3943000	80060000	80060000	36151000	91972000	15825000	7110000	128123000	18825000	50491000	54965000	1582000	90060000	125863000	4486000	694000	69316000	17827000	TRUE	52722000	6579000	449631000	628883000	417226000	287251000	
23643	15149000	0	17982000	36021000	0	75232000	0	0	0	0	102030000	0	10798000		28240000	2045000	6386000	57250000	91132000	0	100000	1733000	0	0	9799000	29091000	18943000	0	38890000	2542000	13600000	10863000	0	29592000	27005000	0	0	16142000	0	TRUE							
